Game title,Length,Date,Location,Players
Castles of Mad King Ludwig,50,2016-12-18,Home,2
Eldritch Horror,160,2016-12-17,Home,3
7 Wonders Duel,40,2016-12-16,Home,2
7 Wonders Duel,40,2016-12-16,Home,2
7 Wonders Duel,35,2016-12-14,Home,2
BattleLore (Second Edition),100,2016-12-12,Home,2
7 Wonders Duel,30,2016-12-11,Home,2
7 Wonders Duel,35,2016-12-11,Home,2
Castles of Mad King Ludwig,60,2016-12-11,Home,2
Mysterium,35,2016-12-11,Home,3
Dead of Winter: The Long Night,90,2016-12-10,Home,2
Bruges,45,2016-12-08,Home,2
Dead of Winter: The Long Night,60,2016-12-06,Home,2
Mysterium,35,2016-12-04,Home,3
Mysterium,35,2016-12-04,Home,3
Splendor,40,2016-12-04,Home,3
Patchwork,25,2016-12-03,Home,2
Hive,15,2016-12-02,Sergey's home,2
7 Wonders Duel,35,2016-11-27,Home,2
Patchwork,40,2016-11-27,Home,2
Small World Underground,60,2016-11-27,Home,2
Neuroshima Hex!,45,2016-11-24,Dima's home,2
Race for the Galaxy,70,2016-11-24,Dima's home,4
Shadowrun: Crossfire,45,2016-11-24,Dima's home,4
Village,110,2016-11-23,Home,2
Patchwork,60,2016-11-21,Home,2
7 Wonders Duel,30,2016-11-20,Home,2
7 Wonders Duel,35,2016-11-19,Home,2
7 Wonders Duel,35,2016-11-19,Home,2
Castles of Mad King Ludwig,70,2016-11-19,Home,2
Between Two Cities,30,2016-11-05,Around Bar,4
Between Two Cities,25,2016-11-05,Around Bar,5
Runebound (Third Edition),120,2016-11-05,Around Bar,3
Citadels,35,2016-10-27,Home,2
Agricola:  All Creatures Big and Small,30,2016-10-19,Home,2
Race for the Galaxy,40,2016-10-06,Dima's home,4
Race for the Galaxy,50,2016-10-06,Dima's home,4
Shadowrun: Crossfire,90,2016-10-06,Dima's home,4
Mysterium,45,2016-10-01,Galina's home,4
Arkham Horror,130,2016-09-29,Dima's home,3
Race for the Galaxy,40,2016-09-29,Dima's home,4
Ticket to Ride: Nordic Countries,35,2016-09-28,Home,2
Mysterium,40,2016-09-27,Home,3
BattleLore (Second Edition),90,2016-09-25,Home,2
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,80,2016-09-25,Around Bar,6
Ticket to Ride Map Collection: Volume 5 – United Kingdom & Pennsylvania,80,2016-09-25,Around Bar,5
Saint Petersburg,100,2016-09-23,Dima's home,5
Theseus: The Dark Orbit,75,2016-09-23,Dima's home,2
Runewars,360,2016-09-22,Home,3
Small World,50,2016-09-19,Home,2
Runewars,430,2016-09-18,Dima's home,4
Bruges,130,2016-09-17,Father's home,4
Bruges,40,2016-09-17,Home,2
Ticket to Ride: Europe,40,2016-09-14,Home,2
Splendor,30,2016-09-12,Home,2
Eldritch Horror,100,2016-09-11,Home,2
BattleLore (Second Edition),90,2016-09-10,Home,2
Star Realms,45,2016-09-10,Home,2
Bruges,120,2016-09-09,Dima's home,4
Race for the Galaxy,50,2016-09-09,Dima's home,4
Star Realms,25,2016-09-08,Home,2
Small World,50,2016-09-06,Home,2
Citadels,40,2016-09-01,Home,2
Ticket to Ride Map Collection: Volume 1 – Team Asia & Legendary Asia,30,2016-08-29,Home,2
Twilight Struggle,320,2016-08-28,Home,2
Eldritch Horror,100,2016-08-27,Home,2
Agricola:  All Creatures Big and Small,25,2016-08-26,Home,2
Mice and Mystics,120,2016-08-25,Home,2
Mice and Mystics,140,2016-08-23,Home,2
Bruges,120,2016-08-20,Father's home,4
Saint Petersburg,90,2016-08-19,Dima's home,4
Ticket to Ride: Europe,50,2016-08-19,Dima's home,3
Bruges,35,2016-08-18,Home,2
Race for the Galaxy,30,2016-08-17,Home,2
Twilight Struggle,75,2016-08-15,Home,2
Agricola:  All Creatures Big and Small,35,2016-08-14,Home,2
Catan,55,2016-08-14,Mr Shpiller,3
Catan,55,2016-08-14,Mr Shpiller,3
Catan,55,2016-08-14,Mr Shpiller,3
BattleLore (Second Edition),90,2016-08-13,Dima's home,2
Dungeoneer: Realm of the Ice Witch,30,2016-08-13,Dima's home,3
Colt Express,40,2016-08-06,Engineer pub,4
Colt Express,30,2016-08-06,Engineer pub,4
New York 1901,90,2016-08-06,Engineer pub,4
Citadels,75,2016-08-01,Home,4
Mysterium,35,2016-08-01,Home,4
Mysterium,35,2016-08-01,Home,4
Frag,110,2016-07-30,Andrew's home,5
Race for the Galaxy,30,2016-07-30,Andrew's home,3
Race for the Galaxy,35,2016-07-30,Andrew's home,3
Small World,100,2016-07-30,Andrew's home,5
Kingsport Festival,120,2016-07-28,Dima's home,4
Theseus: The Dark Orbit,70,2016-07-28,Dima's home,3
BattleLore (Second Edition),70,2016-07-26,Home,2
Small World,45,2016-07-26,Home,2
Bruges,45,2016-07-25,Home,2
Mysterium,35,2016-07-24,Home,4
Splendor,55,2016-07-24,Home,4
Runewars,270,2016-07-23,Home,2
Race for the Galaxy,30,2016-07-21,Home,2
Ticket to Ride Map Collection: Volume 2 – India & Switzerland,30,2016-07-21,Home,2
Runewars,300,2016-07-19,Home,2
Runewars,240,2016-07-18,Home,2
Arkham Horror,210,2016-07-15,Dima's home,5
Mysterium,40,2016-07-10,Home,3
Mysterium,35,2016-07-10,Home,3
Splendor,35,2016-07-10,Home,3
Splendor,40,2016-07-10,Home,3
Eldritch Horror,90,2016-07-09,Dima's home,4
Power Grid: Northern Europe/United Kingdom & Ireland,170,2016-07-09,Dima's home,4
Agricola:  All Creatures Big and Small,35,2016-07-08,Home,2
Agricola:  All Creatures Big and Small,45,2016-07-04,Home,2
BattleLore (Second Edition),120,2016-07-04,Home,2
BattleLore (Second Edition),90,2016-06-28,Home,2
Mysterium,25,2016-06-28,Home,2
Mysterium,20,2016-06-28,Home,2
Race for the Galaxy,40,2016-06-28,Home,2
